"","date","n_correos"
"1","20090119",3
"2","20090120",3
"3","20090121",1
"4","20090125",2
"5","20090127",2
"6","20090128",2
"7","20090202",1
"8","20090203",6
"9","20090204",3
"10","20090205",2
"11","20090209",10
"12","20090211",11
"13","20090212",7
"14","20090213",3
"15","20090214",2
"16","20090216",5
"17","20090217",7
"18","20090218",11
"19","20090219",2
"20","20090223",3
"21","20090224",7
"22","20090225",1
"23","20090228",1
"24","20090302",4
"25","20090303",3
"26","20090304",1
"27","20090306",7
"28","20090307",2
"29","20090308",4
"30","20090310",2
"31","20090311",6
"32","20090312",1
"33","20090313",2
"34","20090316",3
"35","20090317",1
"36","20090318",6
"37","20090319",9
"38","20090320",5
"39","20090321",1
"40","20090322",3
"41","20090323",3
"42","20090324",3
"43","20090325",4
"44","20090326",5
"45","20090327",2
"46","20090328",3
"47","20090329",6
"48","20090330",3
"49","20090331",4
"50","20090402",1
"51","20090403",1
"52","20090404",3
"53","20090405",4
"54","20090406",1
"55","20090407",3
"56","20090408",4
"57","20090414",1
"58","20090415",8
"59","20090416",8
"60","20090417",7
"61","20090418",19
"62","20090419",4
"63","20090420",2
"64","20090421",6
"65","20090422",22
"66","20090423",11
"67","20090424",1
"68","20090425",4
"69","20090426",6
"70","20090427",1
"71","20090428",3
"72","20090503",1
"73","20090505",2
"74","20090506",7
"75","20090507",5
"76","20090508",9
"77","20090512",1
"78","20090513",5
"79","20090514",4
"80","20090520",3
"81","20090521",2
"82","20090526",1
"83","20090601",3
"84","20090603",1
"85","20090604",2
"86","20090605",1
"87","20090607",3
"88","20090608",1
"89","20090611",1
"90","20090613",1
"91","20090617",2
"92","20090619",1
"93","20090620",1
"94","20090622",3
"95","20090623",2
"96","20090625",1
"97","20090628",2
"98","20090629",1
"99","20090701",5
"100","20090702",7
"101","20090703",1
"102","20090712",1
"103","20090714",2
"104","20090715",4
"105","20090716",5
"106","20090718",2
"107","20090719",1
"108","20090720",1
"109","20090727",1
"110","20090728",2
"111","20090729",8
"112","20090730",6
"113","20090802",4
"114","20090804",2
"115","20090805",2
"116","20090806",2
"117","20090807",1
"118","20090808",2
"119","20090826",5
"120","20090828",1
"121","20090901",1
"122","20090902",3
"123","20090903",6
"124","20090909",1
"125","20090910",11
"126","20090911",1
"127","20090915",2
"128","20090916",3
"129","20090917",3
"130","20090923",1
"131","20090929",2
"132","20091002",1
"133","20091003",1
"134","20091004",1
"135","20091005",4
"136","20091006",1
"137","20091007",1
"138","20091008",1
"139","20091009",1
"140","20091015",1
"141","20091018",1
"142","20091020",2
"143","20091021",7
"144","20091022",1
"145","20091023",2
"146","20091025",1
"147","20091026",2
"148","20091029",1
"149","20091103",1
"150","20091104",1
"151","20091108",1
"152","20091109",1
"153","20091110",1
"154","20091112",1
"155","20091114",1
"156","20091117",6
"157","20091118",7
"158","20091119",4
"159","20091120",24
"160","20091121",4
"161","20091122",9
"162","20091124",5
"163","20091125",2
"164","20091126",3
"165","20091127",1
"166","20091128",1
"167","20091129",5
"168","20091130",1
"169","20091201",4
"170","20091202",8
"171","20091203",5
"172","20091204",6
"173","20091205",4
"174","20091206",1
"175","20091207",4
"176","20091208",1
"177","20091209",1
"178","20091210",12
"179","20091211",8
"180","20091214",5
"181","20091215",5
"182","20091216",7
"183","20091217",3
"184","20091218",3
"185","20091219",3
"186","20091220",2
"187","20091221",2
"188","20091222",6
"189","20091224",7
"190","20091225",1
"191","20091228",1
"192","20091231",1
"193","20100101",2
"194","20100104",1
"195","20100106",1
"196","20100107",3
"197","20100108",1
"198","20100111",1
"199","20100112",4
"200","20100118",1
"201","20100119",10
"202","20100120",4
"203","20100121",11
"204","20100122",6
"205","20100124",1
"206","20100125",19
"207","20100126",13
"208","20100127",11
"209","20100128",13
"210","20100129",3
"211","20100130",8
"212","20100131",5
"213","20100201",16
"214","20100202",33
"215","20100203",22
"216","20100204",27
"217","20100205",17
"218","20100206",16
"219","20100208",3
"220","20100209",12
"221","20100210",13
"222","20100211",15
"223","20100212",7
"224","20100213",1
"225","20100215",13
"226","20100216",19
"227","20100217",27
"228","20100218",25
"229","20100219",14
"230","20100220",4
"231","20100221",11
"232","20100222",6
"233","20100223",8
"234","20100224",19
"235","20100225",12
"236","20100226",31
"237","20100227",4
"238","20100228",1
"239","20100301",14
"240","20100302",1
"241","20100303",10
"242","20100304",4
"243","20100305",4
"244","20100306",4
"245","20100307",2
"246","20100308",2
"247","20100309",4
"248","20100311",12
"249","20100312",4
"250","20100313",2
"251","20100314",1
"252","20100316",2
"253","20100317",9
"254","20100318",16
"255","20100319",3
"256","20100321",1
"257","20100323",11
"258","20100324",6
"259","20100325",15
"260","20100326",1
"261","20100328",1
"262","20100329",14
"263","20100330",6
"264","20100331",6
"265","20100401",2
"266","20100402",2
"267","20100403",2
"268","20100404",1
"269","20100406",10
"270","20100407",6
"271","20100408",2
"272","20100409",5
"273","20100410",3
"274","20100411",4
"275","20100412",11
"276","20100413",1
"277","20100414",9
"278","20100415",2
"279","20100417",1
"280","20100418",19
"281","20100419",5
"282","20100420",10
"283","20100421",7
"284","20100422",9
"285","20100423",13
"286","20100424",5
"287","20100425",1
"288","20100426",14
"289","20100427",4
"290","20100428",13
"291","20100429",4
"292","20100504",4
"293","20100505",5
"294","20100506",4
"295","20100507",1
"296","20100513",5
"297","20100514",4
"298","20100518",1
"299","20100519",4
"300","20100520",2
"301","20100522",1
"302","20100523",1
"303","20100524",1
"304","20100527",1
"305","20100528",3
"306","20100529",2
"307","20100531",1
"308","20100607",1
"309","20100608",8
"310","20100611",1
"311","20100617",3
"312","20100619",1
"313","20100621",2
"314","20100622",4
"315","20100623",2
"316","20100624",1
"317","20100625",8
"318","20100627",1
"319","20100628",1
"320","20100629",4
"321","20100630",7
"322","20100701",1
"323","20100702",2
"324","20100703",1
"325","20100705",1
"326","20100714",2
"327","20100715",4
"328","20100716",3
"329","20100718",1
"330","20100719",1
"331","20100721",3
"332","20100722",2
"333","20100725",3
"334","20100726",6
"335","20100727",8
"336","20100729",1
"337","20100730",2
"338","20100731",2
"339","20100801",1
"340","20100802",4
"341","20100803",2
"342","20100804",3
"343","20100805",4
"344","20100806",2
"345","20100809",1
"346","20100810",2
"347","20100811",4
"348","20100812",2
"349","20100813",1
"350","20100816",1
"351","20100817",12
"352","20100818",6
"353","20100819",4
"354","20100822",8
"355","20100823",3
"356","20100825",2
"357","20100826",6
"358","20100828",1
"359","20100829",2
"360","20100830",3
"361","20100831",5
"362","20100901",9
"363","20100902",9
"364","20100903",3
"365","20100904",1
"366","20100906",1
"367","20100907",3
"368","20100908",10
"369","20100909",12
"370","20100910",2
